month,trust,region,total_attendances,type1_attendances,total_over_4hrs,type1_over_4hrs,breaches_4_to_12hr,breaches_12hr_plus
2025-04,MIRIAM MINOR EMERGENCY,NHS ENGLAND NORTH WEST,1583,0,0,0,0,0
2025-04,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,5987,0,173,0,0,0
2025-04,NEMS UTC,NHS ENGLAND MIDLANDS,3399,0,777,0,0,0
2025-04,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,20322,12259,4023,4018,994,246
2025-04,NORTH BRISTOL NHS TRUST,NHS ENGLAND SOUTH WEST,8866,8866,3494,3494,606,299
2025-04,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,11030,8794,3998,3968,556,496
2025-04,NORTH EAST LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,1730,0,63,0,0,0
2025-04,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16639,5058,2781,2734,196,10
2025-04,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,18465,14259,5921,5836,576,767
2025-04,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,12668,9964,4308,4211,712,667
2025-04,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,33638,25192,10788,10385,1013,1222
2025-04,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16134,9087,5029,4947,654,800
2025-04,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,23336,9960,2566,2557,61,0
2025-04,NOTTINGHAM CITYCARE PARTNERSHIP,NHS ENGLAND MIDLANDS,4992,0,580,0,0,0
2025-04,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,14649,12371,6736,6491,254,581
2025-04,OADBY,NHS ENGLAND MIDLANDS,561,0,0,0,0,0
2025-04,OAKHAM,NHS ENGLAND MIDLANDS,75,0,0,0,0,0
2025-04,OKEHAMPTON MEDICAL CENTRE,NHS ENGLAND SOUTH WEST,77,0,0,0,0,0
2025-04,OXFORD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,4227,0,292,0,0,0
2025-04,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,17470,12200,4245,4243,650,0
2025-04,PAULTON MEMORIAL HOSPITAL,NHS ENGLAND SOUTH WEST,913,0,5,0,0,0
2025-04,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST,3297,0,42,0,0,0
2025-04,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,NHS ENGLAND SOUTH EAST,13829,9902,4434,4250,1009,503
2025-04,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,NHS ENGLAND SOUTH EAST,5503,0,54,0,0,0
2025-04,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,NHS ENGLAND SOUTH EAST,5249,0,207,0,0,0
2025-04,PUTNOE WALK IN CENTRE,NHS ENGLAND EAST OF ENGLAND,2729,0,0,0,0,0
2025-04,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,1450,0,15,0,0,0
2025-04,READING URGENT CARE CENTRE,NHS ENGLAND SOUTH EAST,2244,0,0,0,0,0
2025-04,ROSSENDALE MIU & OOH,NHS ENGLAND NORTH WEST,1108,0,0,0,0,0
2025-04,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,14847,10298,4239,4206,672,25
2025-04,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS ENGLAND SOUTH WEST,19195,6767,3982,3415,777,457
2025-04,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,16381,12301,4989,4983,932,214
2025-04,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,41077,24636,10705,9696,1192,1792
2025-04,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0
2025-04,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,8183,6632,2022,2022,261,1
2025-04,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,8660,8660,3622,3622,778,120
2025-04,SALISBURY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,6896,4720,2075,2075,477,57
2025-04,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,20344,10840,4823,4504,808,270
2025-04,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,4513,4162,299,299,7,0
2025-04,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16777,8806,4968,4677,1157,4
2025-04,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,16028,10304,3618,3312,476,105
2025-04,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS ENGLAND MIDLANDS,3041,0,5,0,0,0
2025-04,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST,8692,0,328,0,0,0
2025-04,SKELMERSDALE WALK IN CENTRE,NHS ENGLAND NORTH WEST,1730,0,6,0,0,0
2025-04,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS,480,0,0,0,0,0
2025-04,SOMERSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,22152,12443,6356,6110,676,175
2025-04,SOUTH BIRMINGHAM GP WALK IN CENTRE,NHS ENGLAND MIDLANDS,6628,0,0,0,0,0
2025-04,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16726,7386,4206,3650,318,13
2025-04,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,18334,11042,5519,5342,814,15
2025-04,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,8265,7824,2271,2271,397,35
2025-04,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,0,0,0,0
2025-04,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,1900,0,25,0,0,0
2025-04,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,11938,8495,1972,1972,397,834
2025-04,STATION PLAZA HEALTH CENTRE,NHS ENGLAND SOUTH EAST,1209,0,0,0,0,0
2025-04,STOCKPORT NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,8545,7518,3079,3016,645,364
2025-04,SUMMERFIELD URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,3055,0,0,0,0,0
2025-04,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,10067,10067,3783,3783,507,609
