day_type,hour_of_day,station,departures,arrivals,net_flow
Weekday,11,"Neville Gill Close, Wandsworth",27,21,-6
Weekday,11,"New Cavendish Street, Marylebone",70,70,0
Weekday,11,"New Fetter Lane, Holborn",42,37,-5
Weekday,11,"New Globe Walk, Bankside",30,39,9
Weekday,11,"New Inn Yard, Shoreditch",60,68,8
Weekday,11,"New Kent Road, The Borough",47,33,-14
Weekday,11,"New North Road 2, Hoxton",10,8,-2
Weekday,11,"New Road 1 , Whitechapel",101,85,-16
Weekday,11,"New Spring Gardens Walk, Vauxhall",35,26,-9
Weekday,11,"Newby Place, Poplar",42,33,-9
Weekday,11,"Newgate Street , St. Paul's",78,142,64
Weekday,11,"Newton Street, Covent Garden",24,68,44
Weekday,11,"Normand Park, West Kensington",78,61,-17
Weekday,11,"Normandy Road, Stockwell",25,25,0
Weekday,11,"North Audley Street, Mayfair",81,81,0
Weekday,11,"North Wharf Road, Paddington",63,28,-35
Weekday,11,"Northdown Street, King's Cross",31,40,9
Weekday,11,"Northfields, Wandsworth",12,6,-6
Weekday,11,"Northington Street , Holborn",91,100,9
Weekday,11,"Northumberland Avenue, Strand",35,73,38
Weekday,11,"Norton Folgate, Liverpool Street",48,41,-7
Weekday,11,"Notting Hill Gate Station, Notting Hill",118,104,-14
Weekday,11,"Nutford Place, Marylebone",17,18,1
Weekday,11,"Old Brompton Road, South Kensington",74,53,-21
Weekday,11,"Old Ford Road, Bethnal Green",31,13,-18
Weekday,11,"Old Montague Street, Whitechapel",64,36,-28
Weekday,11,"Old Quebec Street, Marylebone",150,111,-39
Weekday,11,"Old Street Station, St. Luke's",115,113,-2
Weekday,11,"Ontario Street, Elephant & Castle",53,50,-3
Weekday,11,"Orbel Street, Battersea",37,31,-6
Weekday,11,"Orchard Place, Blackwall Tunnel",21,9,-12
Weekday,11,"Ormonde Gate, Chelsea",53,60,7
Weekday,11,"Orsett Terrace, Bayswater",30,7,-23
Weekday,11,"Osiers Road, Wandsworth",19,9,-10
Weekday,11,"Ossulston Street, Somers Town",84,88,4
Weekday,11,"Oxford Road, Putney",11,11,0
Weekday,11,"Paddington Green, Paddington",20,14,-6
Weekday,11,"Paddington Street, Marylebone",51,111,60
Weekday,11,"Page Street, Westminster",105,82,-23
Weekday,11,"Palace Gardens Terrace, Notting Hill",102,68,-34
Weekday,11,"Palace Gate, Kensington Gardens",172,150,-22
Weekday,11,"Palissy Street, Shoreditch",58,47,-11
Weekday,11,"Pall Mall East, West End",60,114,54
Weekday,11,"Pancras Road, King's Cross",61,40,-21
Weekday,11,"Panton Street, West End",69,96,27
Weekday,11,"Park Lane , Hyde Park",110,76,-34
Weekday,11,"Park Lane, Mayfair",21,40,19
Weekday,11,"Park Road (Baker Street), The Regent's Park",124,101,-23
Weekday,11,"Park Street, Bankside",37,62,25
Weekday,11,"Parson's Green , Parson's Green",50,63,13
Weekday,11,"Parsons Green Station, Parsons Green",72,59,-13
Weekday,11,"Pembridge Villas, Notting Hill",53,68,15
Weekday,11,"Penfold Street, Marylebone",42,19,-23
Weekday,11,"Pennington Street, Wapping",44,38,-6
Weekday,11,"Penywern Road, Earl's Court",75,32,-43
Weekday,11,"Percival Street, Finsbury",57,27,-30
Weekday,11,"Percy Street, Bloomsbury",68,90,22
Weekday,11,"Peterborough Road, Sands End",18,26,8
Weekday,11,"Phene Street, Chelsea",63,58,-5
Weekday,11,"Phillimore Gardens, Kensington",105,122,17
Weekday,11,"Philpot Street, Whitechapel",80,76,-4
Weekday,11,"Pindar Street, Liverpool Street",10,28,18
Weekday,11,"Pitfield Street Central, Hoxton",72,21,-51
Weekday,11,"Pitfield Street North,Hoxton",67,58,-9
Weekday,11,"Plough Terrace, Clapham Junction",40,10,-30
Weekday,11,"Podium, Queen Elizabeth Olympic Park",59,80,21
Weekday,11,"Pont Street, Knightsbridge",69,116,47
Weekday,11,"Porchester Place, Paddington",113,94,-19
Weekday,11,"Portland Place, Marylebone",93,109,16
Weekday,11,"Portman Square, Marylebone",59,57,-2
Weekday,11,"Portugal Street, Holborn",19,53,34
Weekday,11,"Pott Street, Bethnal Green",65,65,0
Weekday,11,"Poured Lines, Bankside",26,51,25
Weekday,11,"Preston's Road, Cubitt Town",24,17,-7
Weekday,11,"Prince Albert Road, The Regent's Park",31,35,4
Weekday,11,"Prince Consort Road, Knightsbridge",54,149,95
Weekday,11,"Prince of Wales Drive, Battersea Park",37,27,-10
Weekday,11,"Princedale Road , Holland Park",35,38,3
Weekday,11,"Princes Square, Bayswater",56,38,-18
Weekday,11,"Pritchard's Road, Bethnal Green",55,84,29
Weekday,11,"Putney Bridge Road, East Putney",14,11,-3
Weekday,11,"Putney Bridge Station, Fulham",47,33,-14
Weekday,11,"Putney Pier, Wandsworth",41,29,-12
Weekday,11,"Putney Rail Station, Putney",19,30,11
Weekday,11,"Queen Mary's, Mile End",114,166,52
Weekday,11,"Queen Mother Sports Centre, Victoria",80,87,7
Weekday,11,"Queen Street 1, Bank",94,188,94
Weekday,11,"Queen Street 2, Bank",79,188,109
Weekday,11,"Queen Victoria Street, St. Paul's",51,54,3
Weekday,11,"Queen's Circus, Battersea Park",90,59,-31
Weekday,11,"Queen's Gate (Central), South Kensington",70,125,55
Weekday,11,"Queen's Gate (North), Kensington",54,175,121
Weekday,11,"Queen's Gate (South), South Kensington",52,68,16
Weekday,11,"Queen's Gate, Kensington Gardens",149,176,27
Weekday,11,"Queensbridge Road, Haggerston",49,13,-36
Weekday,11,"Queensdale Road, Shepherd's Bush",29,28,-1
Weekday,11,"Queensway, Kensington Gardens",86,76,-10
Weekday,11,"Rainville Road, Hammersmith",44,34,-10
Weekday,11,"Ram Street, Wandsworth",94,69,-25
Weekday,11,"Rampayne Street, Pimlico",88,49,-39
Weekday,11,"Ranelagh Gardens, Fulham",50,25,-25
Weekday,11,"Rathbone Street, Fitzrovia",32,40,8
Weekday,11,"Ravenscourt Park Station, Hammersmith",64,46,-18
Weekday,11,"Reardon Street, Wapping",69,35,-34
Weekday,11,"Rectory Square, Stepney",42,19,-23
Weekday,11,"Red Lion Square, Holborn",22,49,27
Weekday,11,"Red Lion Street, Holborn",72,136,64
Weekday,11,"Regency Street, Westminster",57,49,-8
Weekday,11,"Regent's Row , Haggerston",107,98,-9
Weekday,11,"Richmond Way, Shepherd's Bush",46,28,-18
Weekday,11,"Rifle Place, Avondale",46,26,-20
Weekday,11,"Risinghill Street, Angel",28,22,-6
Weekday,11,"River Street , Clerkenwell",28,16,-12
Weekday,11,"Riverlight North, Nine Elms",86,60,-26
Weekday,11,"Rochester Row, Westminster",49,40,-9
Weekday,11,"Rodney Road , Walworth",47,15,-32
Weekday,11,"Roscoe Street, St. Luke's",25,39,14
Weekday,11,"Rotherhithe Roundabout, Rotherhithe",35,28,-7
Weekday,11,"Royal Avenue 1, Chelsea",49,59,10
Weekday,11,"Royal Avenue 2, Chelsea",73,56,-17
Weekday,11,"Royal College Street, Camden Town",84,30,-54
Weekday,11,"Royal London Hospital, Whitechapel",176,179,3
Weekday,11,"Russell Gardens, Olympia",38,12,-26
Weekday,11,"Russell Square Station, Bloomsbury",82,138,56
Weekday,11,"Sackville Street, Mayfair",94,90,-4
Weekday,11,"Sadlers Sports Centre, Finsbury",79,77,-2
Weekday,11,"Sail Street, Vauxhall",36,33,-3
Weekday,11,"Salmon Lane, Limehouse",115,39,-76
Weekday,11,"Saltoun Road, Brixton",44,36,-8
Weekday,11,"Sancroft Street, Vauxhall",49,17,-32
Weekday,11,"Sandilands Road, Walham Green",45,34,-11
Weekday,11,"Santos Road, Wandsworth",16,4,-12
Weekday,11,"Sardinia Street, Holborn",27,133,106
Weekday,11,"Saunders Ness Road, Cubitt Town",42,59,17
Weekday,11,"Scala Street, Fitzrovia",36,53,17
Weekday,11,"Sea Containers, South Bank",53,54,1
Weekday,11,"Sedding Street, Sloane Square",81,107,26
Weekday,11,"Selby Street, Whitechapel",61,30,-31
Weekday,11,"Serpentine Car Park, Hyde Park",169,211,42
Weekday,11,"Seville Street, Knightsbridge",95,105,10
Weekday,11,"Seymour Place, Marylebone",67,62,-5
Weekday,11,"Shadwell Station, Shadwell",65,30,-35
Weekday,11,"Sheepcote Lane, Battersea",34,15,-19
Weekday,11,"Shepherd's Bush Road North, Shepherd's Bush",36,30,-6
Weekday,11,"Shoreditch Court, Haggerston",48,19,-29
Weekday,11,"Shoreditch High Street, Shoreditch",79,119,40
Weekday,11,"Shoreditch Park, Hoxton",59,40,-19
Weekday,11,"Shouldham Street, Marylebone",38,32,-6
Weekday,11,"Sidney Road, Stockwell",45,16,-29
Weekday,11,"Silverthorne Road, Battersea",38,18,-20
Weekday,11,"Simpson Street, Clapham Junction",96,78,-18
Weekday,11,"Sirdar Road, Avondale",15,10,-5
Weekday,11,"Sloane Avenue, Knightsbridge",79,115,36
Weekday,11,"Smith Square, Westminster",54,64,10
Weekday,11,"Smugglers Way, Wandsworth",29,22,-7
Weekday,11,"Snow Hill, Farringdon",15,10,-5
Weekday,11,"Snowsfields, London Bridge",72,63,-9
Weekday,11,"Soho Square , Soho",90,243,153
Weekday,11,"Somerset House, Strand",48,81,33
Weekday,11,"South Audley Street, Mayfair",21,21,0
Weekday,11,"South Bermondsey Station, Bermondsey",25,13,-12
Weekday,11,"South Kensington Station, South Kensington",85,121,36
Weekday,11,"South Lambeth Road, Vauxhall",78,87,9
Weekday,11,"South Parade, Chelsea",58,47,-11
Weekday,11,"South Park, Sands End",84,28,-56
Weekday,11,"South Quay East, Canary Wharf",11,17,6
Weekday,11,"South Wharf Road, Paddington",83,78,-5
Weekday,11,"Southampton Place, Holborn",30,51,21
Weekday,11,"Southampton Street, Strand",69,63,-6
Weekday,11,"Southern Grove, Bow",29,20,-9
Weekday,11,"Southerton Road, Hammersmith",73,33,-40
Weekday,11,"Southwark Station 2, Southwark",33,30,-3
Weekday,11,"Southwark Street, Bankside",26,38,12
Weekday,11,"Southwick Street, Paddington",114,35,-79
Weekday,11,"Spanish Road, Clapham Junction",24,10,-14
Weekday,11,"Spencer Park, Wandsworth Common",16,4,-12
Weekday,11,"Spindrift Avenue, Millwall",23,19,-4
Weekday,11,"St John's Crescent, Brixton",32,23,-9
Weekday,11,"St Martins Close, Camden Town",36,19,-17
Weekday,11,"St Mary's Hospital, Paddington",112,63,-49
Weekday,11,"St. Bride Street, Holborn",51,45,-6
Weekday,11,"St. Chad's Street, King's Cross",48,29,-19
Weekday,11,"St. George Street, Mayfair",46,91,45
Weekday,11,"St. George's Square, Pimlico",72,42,-30
Weekday,11,"St. James's Square, St. James's",142,250,108
Weekday,11,"St. John Street, Finsbury",52,28,-24
Weekday,11,"St. John's Park, Cubitt Town",27,25,-2
Weekday,11,"St. John's Road, Clapham Junction",75,71,-4
Weekday,11,"St. John's Wood Church, The Regent's Park",53,27,-26
Weekday,11,"St. John's Wood Road, St. John's Wood",67,24,-43
Weekday,11,"St. Katharine's Way, Tower",44,47,3
Weekday,11,"St. Luke's Church, Chelsea",46,57,11
Weekday,11,"St. Mark's Road, North Kensington",35,15,-20
Weekday,11,"St. Martin's Street, West End",22,47,25
Weekday,11,"St. Mary & St. Michael Church, Stepney",19,14,-5
Weekday,11,"St. Mary Axe, Aldgate",60,33,-27
Weekday,11,"St. Pancras Way, Camden Town",30,4,-26
Weekday,11,"St. Peter's Terrace, Fulham",58,70,12
Weekday,11,"Stainsby Road , Poplar",46,20,-26
Weekday,11,"Stamford Street, South Bank",58,62,4
Weekday,11,"Stanhope Gate, Mayfair",28,35,7
Weekday,11,"Stanley Grove, Battersea",23,15,-8
Weekday,11,"Star Road, West Kensington",48,15,-33
Weekday,11,"Stebondale Street, Cubitt Town",11,10,-1
Weekday,11,"Stephendale Road, Sands End",71,36,-35
Weekday,11,"Stepney Green Station, Stepney",128,130,2
Weekday,11,"Stewart's Road, Wandsworth Road",17,13,-4
Weekday,11,"Stonecutter Street, Holborn",40,83,43
Weekday,11,"Store Street, Bloomsbury",70,89,19
Weekday,11,"Storey's Gate, Westminster",152,222,70
Weekday,11,"Strand, Strand",82,169,87
Weekday,11,"Strata, Elephant & Castle",148,87,-61
Weekday,11,"Stratford Station, Stratford",48,58,10
Weekday,11,"Sugden Road, Clapham",41,21,-20
Weekday,11,"Sumner Place, South Kensington",45,26,-19
Weekday,11,"Sun Street, Liverpool Street",42,37,-5
Weekday,11,"Surrey Lane, Battersea",58,36,-22
Weekday,11,"Sutton Street, Shadwell",82,48,-34
Weekday,11,"Swan Street, The Borough",52,26,-26
Weekday,11,"Tachbrook Street, Victoria",61,75,14
Weekday,11,"Tallis Street, Temple",41,72,31
Weekday,11,"Tanner Street, Bermondsey",111,34,-77
Weekday,11,"Tate Modern, Bankside",73,104,31
Weekday,11,"Tavistock Place, Bloomsbury",59,76,17
Weekday,11,"Tavistock Street, Covent Garden",13,89,76
Weekday,11,"Taviton Street, Bloomsbury",82,173,91
Weekday,11,"Temple Gardens, Temple",53,71,18
Weekday,11,"Teversham Lane, Stockwell",38,13,-25
Weekday,11,"Teviot Street, Poplar",14,9,-5
Weekday,11,"The Blue, Bermondsey",56,20,-36
Weekday,11,"The Guildhall, Guildhall",37,59,22
Weekday,11,"The Metropolitan, Portobello",33,14,-19
Weekday,11,"The Tennis Courts, The Regent's Park",57,72,15
Weekday,11,"The Vale, Chelsea",52,60,8
Weekday,11,"Theobald's Road , Holborn",59,97,38
Weekday,11,"Thorndike Close, West Chelsea",45,33,-12
Weekday,11,"Thurtle Road, Haggerston",28,12,-16
Weekday,11,"Timber Lodge, Queen Elizabeth Olympic Park",50,31,-19
Weekday,11,"Tooley Street, Bermondsey",174,116,-58
Weekday,11,"Torrens Street, Angel",35,31,-4
Weekday,11,"Tower Gardens , Tower",82,128,46
Weekday,11,"Tower Wharf, Bermondsey",46,43,-3
Weekday,11,"Trebovir Road, Earl's Court",61,41,-20
Weekday,11,"Triangle Car Park, Hyde Park",165,145,-20
Weekday,11,"Turquoise Island, Notting Hill",67,65,-2
Weekday,11,"Twig Folly Bridge, Mile End",40,35,-5
Weekday,11,"Tyers Gate, Bermondsey",44,35,-9
Weekday,11,"Tysoe Street, Clerkenwell",87,65,-22
Weekday,11,"Union Grove, Wandsworth Road",52,21,-31
Weekday,11,"Union Street, The Borough",31,32,1
Weekday,11,"Upcerne Road, West Chelsea",48,17,-31
Weekday,11,"Upper Bank Street, Canary Wharf",34,43,9
Weekday,11,"Upper Grosvenor Street, Mayfair",5,18,13
Weekday,11,"Upper Richmond Road, Putney",18,14,-4
Weekday,11,"Usk Road, Clapham Junction",54,19,-35
Weekday,11,"Vauxhall Bridge , Pimlico",37,36,-1
Weekday,11,"Vauxhall Cross, Vauxhall",114,96,-18
Weekday,11,"Vauxhall Street, Vauxhall",70,65,-5
Weekday,11,"Vauxhall Walk, Vauxhall",41,26,-15
Weekday,11,"Vereker Road, West Kensington",65,50,-15
Weekday,11,"Vicarage Crescent, Battersea",66,39,-27
Weekday,11,"Vicarage Gate, Kensington",28,42,14
Weekday,11,"Victoria & Albert Museum, South Kensington",35,172,137
Weekday,11,"Victoria Park Road, Hackney Central",62,48,-14
Weekday,11,"Victoria Rise, Clapham Common",16,15,-1
Weekday,11,"Victory Place, Walworth",24,7,-17
Weekday,11,"Vincent Square, Westminster",37,18,-19
Weekday,11,"Vincent Street, Pimlico",61,49,-12
Weekday,11,"Walmer Road, Avondale",27,28,1
Weekday,11,"Walnut Tree Walk, Vauxhall",43,36,-7
Weekday,11,"Walworth Square, Walworth",105,73,-32
Weekday,11,"Wandsworth Rd, Isley Court, Wandsworth Road",38,21,-17
Weekday,11,"Wandsworth Town Station, Wandsworth",50,48,-2
Weekday,11,"Wapping High Street, Wapping",53,15,-38
Weekday,11,"Wapping Lane, Wapping",63,49,-14
Weekday,11,"Wardour Street, Soho",51,90,39
Weekday,11,"Warren Street Station, Euston",177,172,-5
Weekday,11,"Warwick Avenue Station, Maida Vale",62,49,-13
Weekday,11,"Warwick Road, Olympia",110,56,-54
Weekday,11,"Warwick Row, Westminster",89,114,25
Weekday,11,"Warwick Square, Pimlico",113,67,-46
Weekday,11,"Waterloo Bridge, South Bank",14,25,11
Weekday,11,"Waterloo Place, St. James's",79,64,-15
Weekday,11,"Waterloo Road, South Bank",46,49,3
Weekday,11,"Waterloo Station 1, Waterloo",192,131,-61
Weekday,11,"Waterloo Station 2, Waterloo",120,18,-102
Weekday,11,"Waterloo Station 3, Waterloo",82,57,-25
Weekday,11,"Watney Market, Stepney",81,50,-31
Weekday,11,"Watney Street, Shadwell",49,32,-17
Weekday,11,"Webber Street , Southwark",71,56,-15
Weekday,11,"Wellington Arch, Hyde Park",283,179,-104
Weekday,11,"Wellington Road, St. John's Wood",37,44,7
Weekday,11,"Wellington Row, Bethnal Green",55,27,-28
Weekday,11,"Wellington Street , Strand",78,122,44
Weekday,11,"Wells Street, Fitzrovia",97,106,9
Weekday,11,"Wendon Street, Old Ford",31,10,-21
Weekday,11,"Wenlock Road , Hoxton",77,39,-38
Weekday,11,"West Cromwell Road, Earl's Court",56,29,-27
Weekday,11,"West Kensington Station, West Kensington",52,23,-29
Weekday,11,"West Smithfield Rotunda, Farringdon",68,52,-16
Weekday,11,"Westbourne Green, Westbourne",25,22,-3
Weekday,11,"Westbourne Grove, Bayswater",75,43,-32
Weekday,11,"Westbourne Park Road, Portobello",26,21,-5
Weekday,11,"Westbridge Road, Battersea",88,67,-21
Weekday,11,"Westferry Circus, Canary Wharf",39,54,15
Weekday,11,"Westferry DLR, Limehouse",63,58,-5
Weekday,11,"Westfield Ariel Way, White City",36,60,24
Weekday,11,"Westfield Library Corner, Shepherd's Bush",75,49,-26
Weekday,11,"Westfield Southern Terrace ,Shepherd's Bush",30,23,-7
Weekday,11,"Westminster Bridge Road, Elephant & Castle",16,10,-6
Weekday,11,"Westminster Pier, Westminster",148,139,-9
Weekday,11,"Westminster University, Marylebone",25,49,24
Weekday,11,"Whiston Road, Haggerston",47,25,-22
Weekday,11,"Whitehall Place, Strand",72,106,34
Weekday,11,"William IV Street, Strand",81,122,41
Weekday,11,"William Morris Way, Sands End",83,42,-41
Weekday,11,"Windsor Terrace, Hoxton",50,41,-9
Weekday,11,"Wood Street, Guildhall",31,41,10
Weekday,11,"Woodstock Grove, Shepherd's Bush",73,57,-16
Weekday,11,"Woodstock Street, Mayfair",37,73,36
Weekday,11,"World's End Place, West Chelsea",58,42,-16
Weekday,11,"Wormwood Street, Liverpool Street",140,134,-6
Weekday,11,"Worship Street, Shoreditch",40,72,32
Weekday,11,"Wren Street, Holborn",73,64,-9
Weekday,11,"Wright's Lane, Kensington",133,131,-2
Weekday,11,"Wynne Road, Stockwell",25,18,-7
Weekday,11,"York Hall, Bethnal Green",53,65,12
Weekday,11,"York Way, Kings Cross",63,48,-15
Weekday,12,"Abbey Orchard Street, Westminster",80,111,31
Weekday,12,"Abbotsbury Road, Holland Park",34,33,-1
Weekday,12,"Aberdeen Place, St. John's Wood",48,40,-8
Weekday,12,"Aberfeldy Street, Poplar",9,21,12
Weekday,12,"Abingdon Green, Westminster",110,99,-11
Weekday,12,"Abingdon Villas, Kensington",26,40,14
Weekday,12,"Ackroyd Drive, Bow",81,52,-29
Weekday,12,"Ada Street, Hackney Central",58,60,2
Weekday,12,"Addison Road, Holland Park",27,33,6
Weekday,12,"Adeline Place, Bloomsbury",54,59,5
Weekday,12,"Agar Grove, Camden Town",32,18,-14
Weekday,12,"Aintree Street, Fulham",43,33,-10
Weekday,12,"Albany Street, The Regent's Park",55,39,-16
Weekday,12,"Albert Bridge Road, Battersea Park",41,46,5
Weekday,12,"Albert Embankment, Vauxhall",46,18,-28
Weekday,12,"Albert Gardens, Stepney",61,35,-26
Weekday,12,"Albert Gate, Hyde Park",382,300,-82
Weekday,12,"Albert Square, Stockwell",60,45,-15
Weekday,12,"Albert Street, Camden Town",41,59,18
Weekday,12,"Alderney Street, Pimlico",99,98,-1
Weekday,12,"Aldersgate Street, Barbican",124,124,0
Weekday,12,"Alfreda Street, Battersea Park",54,42,-12
Weekday,12,"All Saints Church, Portobello",123,101,-22
Weekday,12,"All Saints' Road, Portobello",49,43,-6
Weekday,12,"Allington Street, Victoria",199,160,-39
Weekday,12,"Alma Road, Wandsworth",10,7,-3
Weekday,12,"Alpha Grove, Millwall",33,25,-8
Weekday,12,"Ampton Street , Clerkenwell",54,36,-18
Weekday,12,"Ansell House, Stepney",109,100,-9
Weekday,12,"Antill Road, Mile End",47,36,-11
Weekday,12,"Aquatic Centre, Queen Elizabeth Olympic Park",130,106,-24
Weekday,12,"Archbishop's Park, Waterloo",36,40,4
Weekday,12,"Argyle Street, Kings Cross",163,194,31
Weekday,12,"Argyll Road, Kensington",43,58,15
Weekday,12,"Arlington Road, Camden Town",35,81,46
Weekday,12,"Arundel Street, Temple",26,70,44
Weekday,12,"Ashley Crescent, Battersea",47,39,-8
Weekday,12,"Ashley Place, Victoria",66,77,11
Weekday,12,"Ashmole Estate, Oval",50,27,-23
Weekday,12,"Aston Street, Stepney",59,41,-18
Weekday,12,"Austin Road, Battersea Park",42,33,-9
Weekday,12,"Aylward Street, Stepney",44,56,12
Weekday,12,"BBC White City, White City",83,61,-22
Weekday,12,"Baker Street, Marylebone",110,72,-38
Weekday,12,"Baldwin Street, St. Luke's",47,53,6
Weekday,12,"Bancroft Road, Bethnal Green",58,41,-17
Weekday,12,"Bank of England Museum, Bank",133,106,-27
Weekday,12,"Bankside Mix, Bankside",86,94,8
Weekday,12,"Barbican Centre, Barbican",86,90,4
Weekday,12,"Barons Court Station, West Kensington",57,51,-6
Weekday,12,"Bath Street, St. Luke's",132,125,-7
Weekday,12,"Battersea Church Road, Battersea",55,45,-10
Weekday,12,"Battersea Park Road, Nine Elms",176,183,7
Weekday,12,"Battersea Power Station, Battersea Park",159,239,80
Weekday,12,"Baylis Road, Waterloo",118,187,69
Weekday,12,"Bayswater Road, Hyde Park",150,141,-9
Weekday,12,"Beaumont Street, Marylebone",82,89,7
Weekday,12,"Bedford Way, Bloomsbury",52,103,51
Weekday,12,"Belford House, Haggerston",16,19,3
Weekday,12,"Belgrave Road, Victoria",47,54,7
Weekday,12,"Belgrave Square, Belgravia",84,49,-35
Weekday,12,"Bell Lane, Liverpool Street",58,78,20
Weekday,12,"Bell Street , Marylebone",51,34,-17
Weekday,12,"Belvedere Road 1, South Bank",35,68,33
Weekday,12,"Belvedere Road 2, South Bank",25,37,12
Weekday,12,"Bermondsey Station, Bermondsey",64,58,-6
Weekday,12,"Bermondsey Street, Bermondsey",80,72,-8
Weekday,12,"Berry Street, Clerkenwell",79,85,6
Weekday,12,"Beryl Road, Hammersmith",59,46,-13
Weekday,12,"Bethnal Green Garden, Bethnal Green",60,48,-12
Weekday,12,"Bethnal Green Road, Shoreditch",147,160,13
Weekday,12,"Bevington Road West, North Kensington",92,67,-25
Weekday,12,"Binfield Road, Stockwell",47,61,14
Weekday,12,"Birkenhead Street, King's Cross",66,64,-2
Weekday,12,"Bishop's Avenue, Fulham",54,68,14
Weekday,12,"Bishop's Bridge Road East, Bayswater",45,27,-18
Weekday,12,"Bishop's Bridge Road West, Bayswater",120,94,-26
Weekday,12,"Black Lion Gate, Kensington Gardens",234,268,34
Weekday,12,"Black Prince Road, Vauxhall",52,38,-14
Weekday,12,"Blackfriars Road, Southwark",96,95,-1
Weekday,12,"Blackfriars Station, St. Paul's",113,79,-34
Weekday,12,"Blenheim Crescent, Ladbroke Grove",67,47,-20
Weekday,12,"Blythe Road West, Shepherd's Bush",30,45,15
Weekday,12,"Blythe Road, Olympia",49,39,-10
Weekday,12,"Bolsover Street, Fitzrovia",55,79,24
Weekday,12,"Bonner Gate, Victoria Park",88,84,-4
Weekday,12,"Bonny Street, Camden Town",83,65,-18
Weekday,12,"Borough High Street, The Borough",78,64,-14
Weekday,12,"Borough Road, Elephant & Castle",64,50,-14
Weekday,12,"Boston Place, Marylebone",92,64,-28
Weekday,12,"Bourne Street, Belgravia",71,71,0
Weekday,12,"Bow Church Station, Bow",71,43,-28
Weekday,12,"Bow Road Station, Bow",85,41,-44
Weekday,12,"Braham Street, Aldgate",134,127,-7
Weekday,12,"Bramham Gardens, Earl's Court",134,76,-58
Weekday,12,"Brandon Street, Walworth",78,44,-34
Weekday,12,"Breams Buildings, Holborn",66,107,41
Weekday,12,"Brick Lane Market, Shoreditch",46,62,16
Weekday,12,"Bricklayers Arms, Borough",91,51,-40
Weekday,12,"Bridge Avenue, Hammersmith",109,134,25
Weekday,12,"British Museum, Bloomsbury",111,131,20
Weekday,12,"Broadcasting House, Marylebone",99,102,3
Weekday,12,"Broadley Terrace, Marylebone",44,48,4
Weekday,12,"Broadwick Street, Soho",54,80,26
Weekday,12,"Bromley High Street, Bow",55,36,-19
Weekday,12,"Brook Green South, Brook Green",16,7,-9
Weekday,12,"Broomhouse Lane, Parsons Green",23,15,-8
Weekday,12,"Brunswick Square, Bloomsbury",107,114,7
Weekday,12,"Brushfield Street, Liverpool Street",199,294,95
Weekday,12,"Bruton Street, Mayfair",24,33,9
Weekday,12,"Buckingham Gate, Westminster",105,74,-31
Weekday,12,"Bucknall Street, Covent Garden",88,96,8
Weekday,12,"Bunhill Row, Moorgate",96,107,11
Weekday,12,"Burdett Road, Mile End",83,83,0
Weekday,12,"Burgess Park Albany Road, Walworth",96,71,-25
Weekday,12,"Bury Place, Holborn",51,75,24
Weekday,12,"Butler Place, Westminster",76,57,-19
Weekday,12,"Buxton Street 1, Shoreditch",32,28,-4
Weekday,12,"Cadogan Close, Victoria Park",60,43,-17
Weekday,12,"Cadogan Gardens, Chelsea",107,127,20
Weekday,12,"Cadogan Place, Knightsbridge",54,99,45
Weekday,12,"Caldwell Street, Stockwell",57,31,-26
Weekday,12,"Calshot Street , King's Cross",43,14,-29
Weekday,12,"Camley Street, Camden Town",27,21,-6
Weekday,12,"Campden Hill Road, Notting Hill",17,26,9
Weekday,12,"Canada Water Station, Rotherhithe",107,75,-32
Weekday,12,"Canton Street, Poplar",43,44,1
Weekday,12,"Cantrell Road, Bow",22,5,-17
Weekday,12,"Carey Street, Holborn",49,46,-3
Weekday,12,"Carnegie Street, King's Cross",41,29,-12
Weekday,12,"Cartwright Gardens , Bloomsbury",70,65,-5
Weekday,12,"Castlehaven Road, Camden Town",86,76,-10
Weekday,12,"Central House, Aldgate",111,98,-13
Weekday,12,"Cephas Street, Bethnal Green",54,37,-17
Weekday,12,"Chadwell Street, Angel",44,59,15
Weekday,12,"Chapel Place, Marylebone",72,72,0
Weekday,12,"Charing Cross Hospital, Hammersmith",104,80,-24
Weekday,12,"Charlbert Street, St. John's Wood",42,27,-15
Weekday,12,"Charles II Street, West End",49,85,36
Weekday,12,"Charlotte Street, Fitzrovia",81,77,-4
Weekday,12,"Charlotte Terrace, Angel",31,32,1
Weekday,12,"Cheapside, Bank",208,166,-42
Weekday,12,"Chelsea Bridge, Pimlico",57,46,-11
Weekday,12,"Chelsea Green, Chelsea",71,67,-4
Weekday,12,"Chepstow Villas, Notting Hill",65,87,22
Weekday,12,"Cheshire Street, Bethnal Green",56,52,-4
Weekday,12,"Chesilton Road, Fulham",29,45,16
Weekday,12,"Chicheley Street, South Bank",100,94,-6
Weekday,12,"Chrisp Street Market, Poplar",59,52,-7
Weekday,12,"Christian Street, Whitechapel",93,47,-46
Weekday,12,"Christopher Street, Liverpool Street",29,59,30
Weekday,12,"City Road, Angel",59,34,-25
Weekday,12,"Clapham Common North Side, Clapham Common",53,41,-12
Weekday,12,"Clapham Common Station, Clapham Common",67,101,34
Weekday,12,"Clapham Road, Lingham Street, Stockwell",30,21,-9
Weekday,12,"Clapham South, Clapham South",58,38,-20
Weekday,12,"Claremont Square, Angel",45,21,-24
